故障唯一码,扶梯品牌,型号,故障代码,事件类型,故障原因,故障级别（平台可配置）
121,迅达,,EA1,2,PT硬件复位,
122,迅达,,EA2,2,PA硬件复位,
123,迅达,,EA3,2,P2硬件复位,
124,迅达,,EA4,2,P3硬件复位,
125,迅达,,Eb0,2,PT复位,
126,迅达,,Eb1,2,PB复位,
127,迅达,,Eb2,2,PA复位,
128,迅达,,Eb3,2,P2复位,
129,迅达,,Eb4,2,P3复位,
130,迅达,,Eb8,2,总线再试复位,
131,迅达,,Eb9,2,缓冲器完全复位,
132,迅达,,EbA,2,错误信息复位,
133,迅达,,Ebb,2,超时复位,
134,迅达,,EbC,2,闪存复位,
135,迅达,,ECb,2,22VAC复位,
136,迅达,,ECC,2,电机超速30％，PT,
137,迅达,,ECE,2,PT超速30％,
138,迅达,,CEF,2,PB超速30％,
139,迅达,,Ed1,2,下部烟雾探测器,
140,迅达,,Ed2,2,中部围裙板触点,
141,迅达,,Ed3,2,相位错误,
142,迅达,,Ed4,2,上部橡胶带触点,
143,迅达,,Ed5,2,下部橡胶带触点,
144,迅达,,Ed6,2,阻塞保护装置  KBV,
145,迅达,,Ed7,2,上部梳齿板加热,
146,迅达,,Ed8,2,下部梯级上翘触点,
147,迅达,,Ed9,2,制动内衬监控,
148,迅达,,EdA,2,客户提供的急停按钮,
149,迅达,,Edb,2,下部水位探测器,
150,迅达,,EdF,2,润滑故障停机,
151,迅达,,EE4,2,PB过热,
152,迅达,,EE5,2,PT过热,
153,迅达,,EE6,2,PA过热,
154,迅达,,EE7,2,上部梯级/踏板丢失，PB,
155,迅达,,EE8,2,控制制动监控，PT,
156,迅达,,EE9,2,控制制动监控2,
157,迅达,,EEA,2,制动距离超出  INMH，PT,
158,迅达,,EEb,2,连续运行,
159,迅达,,EEC,2,上部接近开关缺损，PB,
160,迅达,,EEd,2,急停2,
161,迅达,,EEr,2,电子自锁错误,
162,迅达,,EF0,2,上部梯级/踏板丢失，PB,
163,迅达,,EF1,2,下部接近开关缺损，PB,
164,迅达,,EF2,2,PT系统状态,
165,迅达,,EF3,2,PB系统状态,
166,迅达,,EF4,2,PT-PB系统检测,
167,迅达,,EF5,2,PB-PT系统检测,
168,迅达,,EF6,2,RB接触器释放检测，PT,
169,迅达,,EF7,2,RGBA接触器释放检测,
